Company,AI Pricing Model,Category,Employees,URL
pipedrive,Tiered,Collaboration & Productivity,101-1000,https://www.pipedrive.com/en/terms-of-service
podium,Tiered,Marketing & Sales,1001-10000,https://legal.podium.com/?_gl=1*1dexel*_gcl_au*NTIwOTU4MTIxLjE3NDY5NjAzMTc.*_ga*NzY2NjAxNjUxLjE3NDY5NjAzMTc.*_ga_WKYNN4EZQT*czE3NDY5NjAzMTckbzEkZzAkdDE3NDY5NjAzMjMkajU0JGwwJGgw&_ga=2.218836249.1803562446.1746960321-766601651.1746960317#termsofservice-us
postman,Addon,Design & Development,1001-10000,https://www.postman.com/legal/terms/
reply,Usage,Marketing & Sales,101-1000,https://reply.io/terms-of-service/
resemble,Usage,Artificial Intelligence,11-50,https://www.resemble.ai/terms-of-service/
salesloft,Tiered,Marketing & Sales,1001-10000,https://www.salesloft.com/legal/msa
scratchpad,Addon,Marketing & Sales,51-100,https://www.scratchpad.com/legal/terms-of-service
semrush,Addon,Analytics,1001-10000,https://www.semrush.com/company/legal/terms-of-service/
slack,Addon,Collaboration & Productivity,101-1000,https://slack.com/terms-of-service/user
smarterqueue,Usage,Marketing & Sales,101-1000,https://smarterqueue.com/terms
uizard,Usage,Design & Development,51-100,https://uizard.io/terms-of-service/
veed,Usage,Design & Development,101-1000,https://www.veed.io/terms-of-use
voiceflow,Usage,Artificial Intelligence,101-1000,https://www.voiceflow.com/legal/terms
workable,Tiered,Human Resources & Legal,101-1000,https://www.workable.com/terms
wrike,Tiered,Project Management & Maintenance,1001-10000,https://www.wrike.com/security/terms/
zenhub,Tiered,Project Management & Maintenance,51-100,https://www.zenhub.com/terms-of-service
ziprecruiter,Tiered,Human Resources & Legal,1001-10000,https://www.ziprecruiter.global/en/terms
zoho-recruit,Tiered,Human Resources & Legal,10000+,https://www.zoho.com/terms.html
